

,Kelompok 9,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
,Responden 197,3,2,2,3,3,2,3,3
,Responden 198,1,3,2,2,3,1,1,3
,Responden 199,3,2,0,4,3,1,3,3
,Responden 200,3,2,2,2,2,3,3,3
,Responden 201,3,3,3,2,3,3,3,2
,Responden 202,3,1,1,3,2,3,3,3
,Responden 203,4,2,2,3,2,2,3,3
,Responden 204,3,2,1,4,3,1,3,1
,Responden 205,2,0,1,2,4,1,2,0
,Responden 206,3,2,3,2,4,1,3,1
,Responden 207,3,1,0,3,4,2,4,2
,Responden 208,3,2,2,4,3,1,4,2
,Responden 209,0,1,1,0,2,0,1,3
,Responden 210,1,3,1,2,3,3,0,1
,Responden 211,0,2,0,2,4,1,0,3
,Responden 212,1,3,4,0,2,2,1,1
,Responden 213,3,3,0,3,1,3,1,1
,Responden 214,4,4,4,1,3,0,3,2
,Responden 215,1,2,0,1,3,3,3,1
,Responden 216,3,3,2,1,3,1,3,1
,Responden 217,2,3,3,2,4,2,3,0
,Responden 218,4,1,1,2,4,2,4,2
,Responden 219,3,3,3,3,0,2,3,1
,Responden 220,3,2,2,1,2,1,4,2
,Responden 221,2,2,3,1,4,2,3,0
,Responden 222,3,3,3,3,4,4,2,0
,Responden 223,2,1,1,3,4,1,4,3
,Responden 224,4,1,1,2,4,2,4,1
,Responden 225,3,2,2,3,4,1,3,0
,Responden 226,4,2,1,1,4,2,4,0
,Responden 227,3,3,3,3,4,1,2,0
,Responden 228,2,2,2,2,3,2,4,2
,Responden 229,3,2,3,3,4,1,2,0
,Responden 230,4,1,1,2,4,2,4,3
,Responden 231,3,2,3,3,4,1,2,0
,Responden 232,3,2,3,3,4,1,2,0
,Responden 233,0,3,3,3,0,4,4,0
,Responden 234,3,1,1,1,3,1,3,3
,Responden 235,1,1,3,2,2,1,1,2
,Responden 236,3,2,3,3,4,1,2,0
,Responden 237,2,2,2,2,4,2,4,2
,Responden 238,0,2,0,3,0,4,1,3
,Responden 239,4,0,0,2,4,2,4,3
,Responden 240,3,2,3,3,4,3,2,0
,Responden 241,3,2,3,3,4,1,2,0
,Responden 242,4,2,2,2,4,2,3,0
,Responden 243,3,2,3,3,4,1,2,0
,Responden 244,3,2,2,3,2,2,3,2
,Responden 245,3,2,2,3,2,2,3,2
,Responden 246,2,0,0,3,4,2,4,3
,Responden 247,0,1,1,3,0,0,1,2
,Responden 248,2,2,2,1,2,2,4,3
,Responden 249,3,2,2,3,3,2,2,3
,Responden 250,4,1,1,2,4,2,3,3
,Responden 251,4,3,4,3,3,1,1,3
,Responden 252,3,2,3,3,4,1,2,0
,Responden 253,2,2,3,3,4,3,3,0
,Responden 254,3,1,1,4,4,1,2,2
,Responden 255,3,1,1,2,1,3,1,3
,Responden 256,4,2,2,2,2,2,4,3
,Responden 257,3,2,2,1,3,1,3,1
,Responden 258,3,1,4,1,4,2,3,0
,Responden 259,3,3,3,3,2,1,2,3
,Responden 260,3,2,3,3,2,2,3,1
,Responden 261,3,1,1,1,3,1,3,3
,Responden 262,4,1,2,4,4,3,4,3
,Responden 263,4,2,2,3,4,2,4,0
,Responden 264,4,2,3,3,1,2,4,4
,Responden 265,4,3,2,2,4,2,3,0
,Responden 266,3,3,2,2,3,2,3,1
,Responden 267,3,2,2,3,4,2,3,1
,Responden 268,4,4,2,2,4,1,3,0
,Responden 269,3,2,2,3,3,1,2,3
,Responden 270,3,3,2,3,3,2,3,2
,Responden 271,3,2,1,1,4,4,4,3
,Responden 272,0,2,2,4,1,3,1,4
,Responden 273,3,2,2,2,2,2,3,3
,Responden 274,3,2,2,2,3,2,4,3
,Responden 275,3,3,3,1,3,3,3,1
,Responden 276,3,3,2,3,3,2,4,3
,Responden 277,3,2,2,1,3,2,4,1
,Responden 278,4,0,0,2,4,2,4,2
,Responden 279,0,2,2,3,0,1,4,0
,Responden 280,3,2,2,2,2,2,3,0
,Responden 281,3,2,2,1,3,0,4,3
,Responden 282,2,2,2,3,3,1,3,0
,Responden 283,4,1,1,4,3,1,1,3
,Responden 284,4,3,3,3,4,1,4,3
,Responden 285,2,4,2,2,3,3,2,1
,Responden 286,3,3,2,0,4,1,3,3
,Responden 287,2,2,2,2,4,2,4,0
,Responden 288,3,3,3,1,2,1,3,3
,Responden 289,2,2,3,1,1,3,3,2
,Responden 290,3,0,0,1,4,0,4,1
,Responden 291,3,1,1,3,3,1,4,4
,Responden 292,3,2,2,3,3,2,4,3
,Responden 293,4,2,2,2,2,2,4,3
,Responden 294,3,2,2,3,2,2,3,2
,Responden 295,3,3,3,2,2,2,4,3
,Responden 296,3,0,1,1,4,0,4,2
,Responden 297,3,1,3,2,4,3,2,0
,Responden 298,3,2,2,2,4,2,2,3
,Responden 299,4,1,1,2,2,2,4,0
,Responden 300,3,2,2,3,3,2,4,3
,Responden 301,3,3,3,2,4,1,2,0
,Responden 302,4,1,2,3,3,2,3,3
,Responden 303,3,1,1,2,4,2,4,1
,Responden 304,4,4,4,1,3,1,3,2
,Responden 305,3,3,3,3,4,1,2,0
,Responden 306,3,2,2,3,3,0,2,3
,Responden 307,4,2,2,2,4,2,4,3
,Responden 308,3,1,1,1,3,1,3,2
,Responden 309,4,3,3,1,4,1,4,3
,Responden 310,2,2,0,4,3,1,4,3
,Responden 311,4,3,4,3,3,1,1,3
,Responden 312,4,1,2,0,3,3,2,4
,Responden 313,0,0,0,1,4,0,4,1
,Responden 314,0,2,2,4,1,3,1,4
,Responden 315,4,2,2,2,4,2,4,3
,Responden 316,3,1,1,2,3,1,3,3
,Responden 317,4,3,2,4,4,2,3,4
,Responden 318,3,2,1,1,2,3,2,0
,Responden 319,3,3,2,2,3,2,3,1
,Responden 320,3,1,1,1,3,1,3,1
,Responden 321,3,2,1,1,3,1,3,2
,Responden 322,4,2,3,2,2,2,2,1
,Responden 323,2,1,3,3,3,1,2,3
,Responden 324,3,3,3,4,2,2,2,4
,Responden 325,4,4,2,2,4,1,3,0
,Responden 326,3,1,0,3,4,0,4,3
,Responden 327,3,2,2,0,4,1,2,3
,Responden 328,3,3,2,1,2,2,3,3
,Responden 329,1,2,0,1,3,3,3,1
,Responden 330,3,2,2,2,3,2,3,2
,Responden 331,3,4,3,2,0,4,1,1
,Responden 332,3,3,2,3,2,2,2,1
,Responden 333,3,1,3,3,2,4,1,2
,Responden 334,3,3,2,3,3,3,3,3
,Responden 335,0,2,1,1,3,2,1,3
,Responden 336,3,2,3,2,4,2,3,0
,Responden 337,1,2,1,1,1,3,2,1
,Responden 338,2,4,3,3,2,2,1,0
,Responden 339,3,2,1,1,1,4,2,3
,Responden 340,2,1,1,3,3,3,3,1
,Responden 341,3,2,2,3,3,1,2,3
,Responden 342,3,2,1,1,4,4,4,3
